Name,Version,Val,States,ID,Data,Name,Flags
acacia_button,,0,1_button_pressed_bit=0 | 3_facing_direction=0,306,0,acacia_button,
,,1,1_button_pressed_bit=0 | 3_facing_direction=1,306,5,acacia_button,
,,2,1_button_pressed_bit=0 | 3_facing_direction=2,306,4,acacia_button,
,,3,1_button_pressed_bit=0 | 3_facing_direction=3,306,3,acacia_button,
,,4,1_button_pressed_bit=0 | 3_facing_direction=4,306,2,acacia_button,
,,5,1_button_pressed_bit=0 | 3_facing_direction=5,306,1,acacia_button,
,,8,1_button_pressed_bit=1 | 3_facing_direction=0,306,8,acacia_button,
,,9,1_button_pressed_bit=1 | 3_facing_direction=1,306,13,acacia_button,
,,10,1_button_pressed_bit=1 | 3_facing_direction=2,306,12,acacia_button,
,,11,1_button_pressed_bit=1 | 3_facing_direction=3,306,11,acacia_button,
,,12,1_button_pressed_bit=1 | 3_facing_direction=4,306,10,acacia_button,
,,13,1_button_pressed_bit=1 | 3_facing_direction=5,306,9,acacia_button,
acacia_door,,0,3_direction=0 | 1_open_bit=0 | 1_upper_block_bit=0,196,0,acacia_door,
,,1,3_direction=1 | 1_open_bit=0 | 1_upper_block_bit=0,196,1,acacia_door,
,,2,3_direction=2 | 1_open_bit=0 | 1_upper_block_bit=0,196,2,acacia_door,
,,3,3_direction=3 | 1_open_bit=0 | 1_upper_block_bit=0,196,3,acacia_door,
,,4,3_direction=0 | 1_open_bit=1 | 1_upper_block_bit=0,196,4,acacia_door,
,,5,3_direction=1 | 1_open_bit=1 | 1_upper_block_bit=0,196,5,acacia_door,
,,6,3_direction=2 | 1_open_bit=1 | 1_upper_block_bit=0,196,6,acacia_door,
,,7,3_direction=3 | 1_open_bit=1 | 1_upper_block_bit=0,196,7,acacia_door,
,,8,1_door_hinge_bit=0 | 1_upper_block_bit=1,196,8,acacia_door,
,,9,1_door_hinge_bit=1 | 1_upper_block_bit=1,196,9,acacia_door,
acacia_fence_gate,,0,3_direction=0 | 1_in_wall_bit=0 | 1_open_bit=0,187,0,acacia_fence_gate,
,,1,3_direction=1 | 1_in_wall_bit=0 | 1_open_bit=0,187,1,acacia_fence_gate,
,,2,3_direction=2 | 1_in_wall_bit=0 | 1_open_bit=0,187,2,acacia_fence_gate,
,,3,3_direction=3 | 1_in_wall_bit=0 | 1_open_bit=0,187,3,acacia_fence_gate,
,,4,3_direction=0 | 1_in_wall_bit=0 | 1_open_bit=1,187,4,acacia_fence_gate,
,,5,3_direction=1 | 1_in_wall_bit=0 | 1_open_bit=1,187,5,acacia_fence_gate,
,,6,3_direction=2 | 1_in_wall_bit=0 | 1_open_bit=1,187,6,acacia_fence_gate,
,,7,3_direction=3 | 1_in_wall_bit=0 | 1_open_bit=1,187,7,acacia_fence_gate,
,,8,3_direction=0 | 1_in_wall_bit=1 | 1_open_bit=0,187,8,acacia_fence_gate,
,,9,3_direction=1 | 1_in_wall_bit=1 | 1_open_bit=0,187,9,acacia_fence_gate,
,,10,3_direction=2 | 1_in_wall_bit=1 | 1_open_bit=0,187,10,acacia_fence_gate,
,,11,3_direction=3 | 1_in_wall_bit=1 | 1_open_bit=0,187,11,acacia_fence_gate,
,,12,3_direction=0 | 1_in_wall_bit=1 | 1_open_bit=1,187,12,acacia_fence_gate,
,,13,3_direction=1 | 1_in_wall_bit=1 | 1_open_bit=1,187,13,acacia_fence_gate,
,,14,3_direction=2 | 1_in_wall_bit=1 | 1_open_bit=1,187,14,acacia_fence_gate,
,,15,3_direction=3 | 1_in_wall_bit=1 | 1_open_bit=1,187,15,acacia_fence_gate,
acacia_pressure_plate,,0,3_redstone_signal=0,301,0,acacia_pressure_plate,
,,1,3_redstone_signal=1,301,1,acacia_pressure_plate,
acacia_stairs,,0,1_upside_down_bit=0 | 3_weirdo_direction=0,163,0,acacia_stairs,
,,1,1_upside_down_bit=0 | 3_weirdo_direction=1,163,1,acacia_stairs,
,,2,1_upside_down_bit=0 | 3_weirdo_direction=2,163,2,acacia_stairs,
,,3,1_upside_down_bit=0 | 3_weirdo_direction=3,163,3,acacia_stairs,
,,4,1_upside_down_bit=1 | 3_weirdo_direction=0,163,4,acacia_stairs,
,,5,1_upside_down_bit=1 | 3_weirdo_direction=1,163,5,acacia_stairs,
