Name,Name,Function
Banner,banner,ConvertBanner
Barrel,barrel,ConvertBarrel
Beacon,beacon,ConvertBeacon
Bed,bed,ConvertBed
Beehive,beehive,ConvertBeehive
Bell,bell,ConvertBell
BlastFurnace,blast_furnace,ConvertBlastFurnace
BrewingStand,brewing_stand,ConvertBrewingStand
Campfire,campfire,ConvertCampfire
Cauldron,,ConvertCauldron
Chest,chest,ConvertChest
CommandBlock,command_block,ConvertCommandBlock
Comparator,comparator,ConvertComparator
Conduit,conduit,ConvertConduit
DaylightDetector,daylight_detector,ConvertDaylightDetector
Dispenser,dispenser,ConvertDispenser
Dropper,dropper,ConvertDropper
EnchantTable,enchanting_table,ConvertEnchantmentTable
EndGateway,end_gateway,ConvertEndGateway
EndPortal,end_portal,ConvertEndPortal
EnderChest,ender_chest,ConvertEnderChest
FlowerPot,,ConvertFlowerPot
Furnace,furnace,ConvertFurnace
GlowItemFrame,,ConvertItemFrame
Hopper,hopper,ConvertHopper
ItemFrame,,ConvertItemFrame
Jukebox,jukebox,ConvertJukebox
Lectern,lectern,ConvertLectern
MobSpawner,mob_spawner,ConvertMobSpawner
MovingBlock,piston,ConvertMovingBlock
Music,noteblock,ConvertNoteBlock
PistonArm,piston,ConvertPistonArm
ShulkerBox,shulker_box,ConvertShulkerBox
Sign,sign,ConvertSign
Skull,skull,ConvertSkull
Smoker,smoker,ConvertSmoker
