id, version, meta, id, meta, flags
1,0,0,stone,8_stone_type=stone,HEIGHTMAP
,0,1,stone,8_stone_type=granite,HEIGHTMAP
,0,2,stone,8_stone_type=granite_smooth,HEIGHTMAP
,0,3,stone,8_stone_type=diorite,HEIGHTMAP
,0,4,stone,8_stone_type=diorite_smooth,HEIGHTMAP
,0,5,stone,8_stone_type=andesite,HEIGHTMAP
,0,6,stone,8_stone_type=andesite_smooth,HEIGHTMAP
2,0,,grass,,HEIGHTMAP
3,0,0,dirt,8_dirt_type=normal,HEIGHTMAP
,0,1,dirt,8_dirt_type=coarse,HEIGHTMAP
,0,2,podzol,,HEIGHTMAP
4,0,,cobblestone,,HEIGHTMAP
5,0,0,planks,8_wood_type=oak,HEIGHTMAP
,0,1,planks,8_wood_type=spruce,HEIGHTMAP
,0,2,planks,8_wood_type=birch,HEIGHTMAP
,0,3,planks,8_wood_type=jungle,HEIGHTMAP
,0,4,planks,8_wood_type=acacia,HEIGHTMAP
,0,5,planks,8_wood_type=dark_oak,HEIGHTMAP
6,0,0,sapling,1_age_bit=0 | 8_sapling_type=oak,
,0,8,sapling,1_age_bit=1 | 8_sapling_type=oak,
,0,1,sapling,1_age_bit=0 | 8_sapling_type=spruce,
,0,9,sapling,1_age_bit=1 | 8_sapling_type=spruce,
,0,2,sapling,1_age_bit=0 | 8_sapling_type=birch,
,0,10,sapling,1_age_bit=1 | 8_sapling_type=birch,
,0,3,sapling,1_age_bit=0 | 8_sapling_type=jungle,
,0,11,sapling,1_age_bit=1 | 8_sapling_type=jungle,
,0,4,sapling,1_age_bit=0 | 8_sapling_type=acacia,
,0,12,sapling,1_age_bit=1 | 8_sapling_type=acacia,
,0,5,sapling,1_age_bit=0 | 8_sapling_type=dark_oak,
,0,13,sapling,1_age_bit=1 | 8_sapling_type=dark_oak,
7,0,,bedrock,,HEIGHTMAP
8,0,0,flowing_water,3_liquid_depth=0,HEIGHTMAP
,0,1,flowing_water,3_liquid_depth=1,HEIGHTMAP
,0,2,flowing_water,3_liquid_depth=2,HEIGHTMAP
,0,3,flowing_water,3_liquid_depth=3,HEIGHTMAP
,0,4,flowing_water,3_liquid_depth=4,HEIGHTMAP
,0,5,flowing_water,3_liquid_depth=5,HEIGHTMAP
,0,6,flowing_water,3_liquid_depth=6,HEIGHTMAP
,0,7,flowing_water,3_liquid_depth=7,HEIGHTMAP
,0,8,flowing_water,3_liquid_depth=8,HEIGHTMAP
,0,9,flowing_water,3_liquid_depth=9,HEIGHTMAP
,0,10,flowing_water,3_liquid_depth=10,HEIGHTMAP
,0,11,flowing_water,3_liquid_depth=11,HEIGHTMAP
,0,12,flowing_water,3_liquid_depth=12,HEIGHTMAP
,0,13,flowing_water,3_liquid_depth=13,HEIGHTMAP
,0,14,flowing_water,3_liquid_depth=14,HEIGHTMAP
,0,15,flowing_water,3_liquid_depth=15,HEIGHTMAP
9,0,0,water,3_liquid_depth=0,HEIGHTMAP
,0,1,water,3_liquid_depth=1,HEIGHTMAP
,0,2,water,3_liquid_depth=2,HEIGHTMAP
,0,3,water,3_liquid_depth=3,HEIGHTMAP
,0,4,water,3_liquid_depth=4,HEIGHTMAP
,0,5,water,3_liquid_depth=5,HEIGHTMAP
,0,6,water,3_liquid_depth=6,HEIGHTMAP
,0,7,water,3_liquid_depth=7,HEIGHTMAP
,0,8,water,3_liquid_depth=8,HEIGHTMAP
,0,9,water,3_liquid_depth=9,HEIGHTMAP
,0,10,water,3_liquid_depth=10,HEIGHTMAP
,0,11,water,3_liquid_depth=11,HEIGHTMAP
,0,12,water,3_liquid_depth=12,HEIGHTMAP
,0,13,water,3_liquid_depth=13,HEIGHTMAP
,0,14,water,3_liquid_depth=14,HEIGHTMAP
,0,15,water,3_liquid_depth=15,HEIGHTMAP
10,0,0,flowing_lava,3_liquid_depth=0,HEIGHTMAP
11,0,0,lava,3_liquid_depth=0,HEIGHTMAP
,0,1,lava,3_liquid_depth=1,HEIGHTMAP
,0,2,lava,3_liquid_depth=2,HEIGHTMAP
,0,3,lava,3_liquid_depth=3,HEIGHTMAP
,0,4,lava,3_liquid_depth=4,HEIGHTMAP
,0,5,lava,3_liquid_depth=5,HEIGHTMAP
,0,6,lava,3_liquid_depth=6,HEIGHTMAP
,0,7,lava,3_liquid_depth=7,HEIGHTMAP
,0,8,lava,3_liquid_depth=8,HEIGHTMAP
,0,9,lava,3_liquid_depth=9,HEIGHTMAP
,0,10,lava,3_liquid_depth=10,HEIGHTMAP
,0,11,lava,3_liquid_depth=11,HEIGHTMAP
,0,12,lava,3_liquid_depth=12,HEIGHTMAP
,0,13,lava,3_liquid_depth=13,HEIGHTMAP
,0,14,lava,3_liquid_depth=14,HEIGHTMAP
,0,15,lava,3_liquid_depth=15,HEIGHTMAP
12,0,0,sand,8_sand_type=normal,HEIGHTMAP
