Name,Name,Function
Airportal,end_portal,ConvertEndPortal
Banner,banner,ConvertBanner
Beacon,beacon,ConvertBeacon
Cauldron,brewing_stand,ConvertBrewingStand
Chest,chest,ConvertChest
Comparator,comparator,ConvertComparator
DLDetector,daylight_detector,ConvertDaylightDetector
Dropper,dropper,ConvertDropper
EnchantTable,enchanting_table,ConvertEnchantmentTable
EndGateway,end_gateway,ConvertEndGateway
EnderChest,ender_Chest,ConvertEnderChest
FlowerPot,flower_pot,ConvertFlowerPot
Furnace,furnace,ConvertFurnace
Hopper,hopper,ConvertHopper
MobSpawner,mob_spawner,ConvertMobSpawner
Music,noteblock,ConvertNoteBlock
Piston,piston,ConvertPiston
RecordPlayer,jukebox,ConvertJukebox
Sign,sign,ConvertSign
Skull,skull,ConvertSkull
Trap,dispenser,ConvertDispenser
banner,banner,ConvertBanner
barrel,chest,ConvertChest
beacon,beacon,ConvertBeacon
bed,bed,ConvertBed
blast_furnace,furnace,ConvertFurnace
brewing_stand,brewing_stand,ConvertBrewingStand
chest,chest,ConvertChest
comparator,comparator,ConvertComparator
conduit,conduit,ConvertConduit
daylight_detector,daylight_detector,ConvertDaylightDetector
dispenser,dispenser,ConvertDispenser
dropper,dropper,ConvertDropper
enchanting_table,enchanting_table,ConvertEnchantmentTable
end_gateway,end_gateway,ConvertEndGateway
end_portal,end_portal,ConvertEndPortal
ender_chest,ender_Chest,ConvertEnderChest
flower_pot,flower_pot,ConvertFlowerPot
furnace,furnace,ConvertFurnace
hopper,hopper,ConvertHopper
jukebox,jukebox,ConvertJukebox
mob_spawner,mob_spawner,ConvertMobSpawner
noteblock,noteblock,ConvertNoteBlock
piston,piston,ConvertPiston
queued_cauldron,cauldron,ConvertCauldron
shulker_box,shulker_box,ConvertShulkerBox
sign,sign,ConvertSign
skull,skull,ConvertSkull
smoker,furnace,ConvertFurnace
trapped_chest,chest,ConvertChest
